School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
Manly, Iowa 50456
(43.286787397, -93.19762046)"
2014,Math,3,3204,Jesup,61,76,80.3,80.1 - 90%,"531 Prospect
Jesup, Iowa 506480287
(42.479597359, -92.064678773)"
2013,Math,7,4269,Midland,19,31,61.3,60.1 - 70%,"109 W. Green Street
Wyoming, Iowa 52362
(42.06066169, -91.006033654)"
2007,Math,11,6943,West Central,23,27,85.2,80.1 - 90%,"305 Pember
Maynard, Iowa 506550054
(42.770692026, -91.880399823)"
2006,Reading,6,1476,Council Bluffs,406,635,63.9,60.1 - 70%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.260936672, -95.848610653)"
2014,Math,11,5486,Remsen-Union,21,24,87.5,80.1 - 90%,"511 Roosevelt St
Remsen, Iowa 51050
(42.808784214, -95.96593844)"
2010,Math,6,2349,Fredericksburg,51,57,89.5,80.1 - 90%,"401 E High Street
Fredericksburg, Iowa 50630
(42.962856553, -92.19441373)"
2014,Reading,7,6035,Sioux Central,27,35,77.1,70.1 - 80%,"4440 U.S. Hwy 71
Sioux Rapids, Iowa 50585
(42.897237523, -95.142078275)"
2013,Math,5,1737,Des Moines,1339,2138,62.6,60.1 - 70%,"901 Walnut Street
Des Moines, Iowa 50309
(41.584997496, -93.62919604)"
2010,Math,11,4149,MOC-Floyd Valley,94,100,94.0,90.1 - 100%,"1301 8th St SE
Orange City, Iowa 51041
(42.997548276, -96.041486456)"
2011,Reading,8,3204,Jesup,45,60,75.0,70.1 - 80%,"531 Prospect
Jesup, Iowa 506480287
(42.479597359, -92.064678773)"
2009,Reading,6,5976,Shenandoah,51,71,71.8,70.1 - 80%,"304 West Nishna
Shenandoah, Iowa 51601
(40.757264109, -95.368784667)"
2014,Reading,10,2313,Fort Dodge,188,253,74.3,70.1 - 80%,"104 S 17th St
Fort Dodge, Iowa 50501
(42.504398547, -94.174977779)"
2009,Math,8,2682,GMG,19,23,82.6,80.1 - 90%,"306 Park Street
Garwin, Iowa 506329730
(42.094686311, -92.674180263)"
2014,Math,3,6969,West Harrison,10,12,83.3,80.1 - 90%,"410 Pine St
Mondamin, Iowa 51557
(41.709263024, -96.0179304)"
2005,Math,8,0081,Albia,51,82,62.2,60.1 - 70%,"701 Washington Ave E
Albia, Iowa 52531
(41.026231183, -92.800017267)"
2010,Reading,11,4203,Mediapolis,63,72,87.5,80.1 - 90%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.01322067, -91.160449839)"
2009,Reading,5,1917,Boyer Valley,23,33,69.7,60.1 - 70%,"1102 Iowa Ave
Dunlap, Iowa 51529
(41.85431341, -95.594870132)"
2012,Reading,7,4773,Northeast,47,60,78.3,70.1 - 80%,"1450 370th Ave
Goose Lake, Iowa 52750
(41.967391117, -90.373692002)"
2005,Reading,4,2466,Gilbert,65,72,90.3,90.1 - 100%,"103 Mathews Dr
Gilbert, Iowa 50105
(42.106768816, -93.641641893)"
2007,Math,4,6012,Sigourney,36,41,87.8,80.1 - 90%,"300 West Kelly
Sigourney, Iowa 52591
(41.324538019001, -92.208010827)"
2013,Math,4,3645,Lewis Central,132,205,64.4,60.1 - 70%,"4121 Harry Langdon Blvd
Council Bluffs, Iowa 51503
(41.220978391, -95.818439144)"
2011,Reading,7,4644,Newell-Fonda,19,35,54.3,50.1 - 60%,"205 Clark St
Newell, Iowa 505680297
(42.607244068, -94.998482383)"
2006,Reading,11,7083,Woden-Crystal Lake,16,18,88.9,80.1 - 90%,"120 East Fifth Street
Crystal Lake, Iowa 50432
(43.220050907, -93.791378898)"
2007,Reading,5,1080,Central,31,37,83.8,80.1 - 90%,"400 1st Street NW
Elkader, Iowa 52043
(42.856201646001, -91.407684887)"
2006,Reading,11,6094,Southeast Warren,40,46,87.0,80.1 - 90%,"16331 Tyler St
Liberty Center, Iowa 50145
(41.204647638, -93.506953573)"
2009,Reading,4,0846,Brooklyn-Guernsey-Malcom,30,35,85.7,80.1 - 90%,"1090 Jackson St
Brooklyn, Iowa 522119705
(41.73809081, -92.445467302)"
2008,Reading,4,5310,Postville,17,37,45.9,40.1 - 50%,"314 W Post
Postville, Iowa 521620717
(43.083446813, -91.572598014)"
2003,Reading,8,3375,Knoxville,97,164,59.1,50.1 - 60%,"309 W Main
Knoxville, Iowa 50138
(41.318957616, -93.101166501)"
2005,Math,11,4212,Melcher-Dallas,24,36,66.7,60.1 - 70%,"214 S Main
Melcher, Iowa 50163
(41.223068663, -93.241824355)"
2011,Reading,11,1476,Council Bluffs,359,556,64.6,60.1 - 70%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.260936672, -95.848610653)"
2010,Reading,4,5510,Riverside,22,31,71.0,70.1 - 80%,"330 Pleasant St
Carson, Iowa 51525
(41.237457777, -95.419260079)"
2009,Math,3,3186,Janesville,15,17,88.2,80.1 - 90%,"505 Barrick Rd
Janesville, Iowa 50647
(42.649545181, -92.457859168)"
2011,Math,3,5166,Pella,142,156,91.0,90.1 - 100%,"210 E University St
Pella, Iowa 50219
(41.40024356, -92.903888016)"
2013,Math,7,4878,Ogden,44,46,95.7,90.1 - 100%,"732 W Division
Ogden, Iowa 502120250
(42.034567065, -94.036676207)"
2011,Math,3,4269,Midland,20,24,83.3,80.1 - 90%,"109 W. Green Street
Wyoming, Iowa 52362
(42.06066169, -91.006033654)"
2011,Math,3,4131,Mason City,209,277,75.5,70.1 - 80%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753, -93.198492687)"
2011,Math,5,2376,Galva-Holstein,28,32,87.5,80.1 - 90%,"519 E Maple
Holstein, Iowa 51025
(42.487382109, -95.541362025)"
2008,Math,5,6003,Sidney,15,20,75.0,70.1 - 80%,"2754 Knox Road
Sidney, Iowa 516520609
(40.743255674, -95.660253541)"
2010,Math,4,1278,Clinton,200,254,78.7,70.1 - 80%,"1401 12th Ave N
Clinton, Iowa 52732
(41.858445401, -90.219388304)"
2011,Reading,3,6840,Waverly-Shell Rock,109,121,90.1,90.1 - 100%,"1415 4th Ave SW
Waverly, Iowa 50677
(42.721711983, -92.489521341)"
2013,Math,8,6512,Twin Cedars,18,33,54.6,50.1 - 60%,"2204 Highway G71
Bussey, Iowa 50044
(41.219053532, -92.926871056)"
2012,Math,3,1638,Decorah,85,96,88.5,80.1 - 90%,"510 Winnebago Street
Decorah, Iowa 52101
(43.300473668, -91.78708747)"
2009,Math,7,0472,Ballard,88,97,90.7,90.1 - 100%,"509 N Main Avenue
Huxley, Iowa 501240307
(41.897429491, -93.606247195)"
2012,Math,7,1926,Durant,40,45,88.9,80.1 - 90%,"408 7th Street
Durant, Iowa 52747
(41.603403343, -90.913637233)"
2009,Reading,7,0981,Carlisle,102,134,76.1,70.1 - 80%,"430 School St
Carlisle, Iowa 50047
(41.498433476, -93.490462462)"
2013,Math,4,2322,Fort Madison,107,131,81.7,80.1 - 90%,"1930 Ave M
Fort Madison, Iowa 52627
(40.626405305, -91.332243165)"
2004,Math,11,6992,Westwood,46,57,80.7,80.1 - 90%,"1000 Rebel Way
Sloan, Iowa 51055
(42.228917062, -96.217814827)"
2010,Reading,3,6471,Tripoli,24,31,77.4,70.1 - 80%,"209 8th Ave SW
Tripoli, Iowa 506769662
(42.801523631, -92.260465)"
2012,Math,5,4149,MOC-Floyd Valley,70,82,85.4,80.1 - 90%,"1301 8th St SE
Orange City, Iowa 51041
(42.997548276, -96.041486456)"
2012,Reading,4,1095,Central Lyon,45,51,88.2,80.1 - 90%,"1105 S Story
Rock Rapids, Iowa 51246
(43.421280709, -96.168318157)"
2003,Reading,4,2502,Gladbrook-Reinbeck,51,58,87.9,80.1 - 90%,"300 Cedar Street
Reinbeck, Iowa 50669
(42.318498668, -92.599634434)"
2012,Math,3,6969,West Harrison,16,25,64.0,60.1 - 70%,"410 Pine St
Mondamin, Iowa 51557
(41.709263024, -96.0179304)"
2010,Math,6,6700,Waco,32,35,91.4,90.1 - 100%,"706 N. Pearl
Wayland, Iowa 52654
(41.153132482001, -91.658643375)"
2006,Reading,3,6094,Southeast Warren,24,32,75.0,70.1 - 80%,"16331 Tyler St
Liberty Center, Iowa 50145
(41.204647638, -93.506953573)"
2007,Reading,3,7092,Woodbine,17,24,70.8,70.1 - 80%,"501 Weare St
Woodbine, Iowa 51579
(41.737231207, -95.706557351)"
2010,Reading,11,2834,Harmony,14,26,53.9,50.1 - 60%,"602 Eighth Street
Bonaparte, Iowa 52620
(40.704120087, -91.800954708)"
2010,Math,7,3537,Laurens-Marathon,11,18,61.1,60.1 - 70%,"300 W. Garfield St.
Laurens, Iowa 50554
(42.851969775001, -94.851382616)"
2012,Math,8,0063,Akron Westfield,23,30,76.7,70.1 - 80%,"850 Kerr Dr
Akron, Iowa 51001
(42.832823680001, -96.55041296)"
2007,Math,11,0081,Albia,63,85,74.1,70.1 - 80%,"701 Washington Ave E
Albia, Iowa 52531
(41.026231183, -92.800017267)"
2006,Reading,11,1449,Corwith-Wesley,21,25,84.0,80.1 - 90%,"408 SE Elm St
Corwith, Iowa 504300127
(42.994122937001, -93.959054133)"
2013,Math,8,6175,Starmont,40,50,80.0,70.1 - 80%,"3202 40th St
Arlington, Iowa 50606
(42.687587157, -91.649580492)"
2005,Math,11,4437,Montezuma,30,43,69.8,60.1 - 70%,"504 N 4th St
Montezuma, Iowa 50171
(41.591280888, -92.5235874)"
2012,Math,5,6957,West Des Moines,499,602,82.9,80.1 - 90%,"3550 Mills Civic Parkway
West Des Moines, Iowa 50265
(41.567672939, -93.75682047)"
2007,Reading,11,6030,Sioux Center,70,81,86.4,80.1 - 90%,"550 9th St NE
Sioux Center, Iowa 51250
(43.086406873001, -96.168600466)"
2003,Reading,8,2403,Garner-Hayfield,62,84,73.8,70.1 - 80%,"605 Lyon Street
Garner, Iowa 504380449
(43.090488817, -93.610079275)"
2006,Math,7,6987,West Monona,38,52,73.1,70.1 - 80%,"1314 15th St
Onawa, Iowa 51040
(42.022885843, -96.103813924)"
2006,Math,11,2376,Galva-Holstein,35,44,79.6,70.1 - 80%,"519 E Maple
Holstein, Iowa 51025
(42.487382109, -95.541362025)"
2012,Math,6,5949,Sheldon,65,77,84.4,80.1 - 90%,"1700 East Fourth Street
Sheldon, Iowa 51201
(43.184700136, -95.83483316)"
2014,Reading,7,2520,Glidden-Ralston,24,26,92.3,90.1 - 100%,"602 Idaho
Glidden, Iowa 51443
(42.061401498, -94.728933805)"
2006,Math,3,4131,Mason City,193,261,74.0,70.1 - 80%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753, -93.198492687)"
2003,Reading,4,1095,Central Lyon,37,44,84.1,80.1 - 90%,"1105 S Story
Rock Rapids, Iowa 51246
(43.421280709, -96.168318157)"
2007,Reading,4,1576,Dallas Center-Grimes,110,120,91.7,90.1 - 100%,"1414 Walnut St, Ste. 200
Dallas Center, Iowa 50063
(41.684340466, -93.961457206)"
2009,Reading,4,4878,Ogden,38,44,86.4,80.1 - 90%,"732 W Division
Ogden, Iowa 502120250
(42.034567065, -94.036676207)"
2013,Math,11,2718,Griswold,38,42,90.5,90.1 - 100%,"20 Madison
Griswold, Iowa 515350280
(41.238123121, -95.13578318)"
2011,Reading,11,6762,Wapsie Valley,44,57,77.2,70.1 - 80%,"2535 Viking Avenue
Fairbank, Iowa 50629
(42.679990164, -92.140653041)"
2006,Reading,4,1863,Dubuque,481,638,75.4,70.1 - 80%,"2300 Chaney Road
Dubuque, Iowa 52001
(42.511203923, -90.706179714)"
2008,Math,3,6561,United,16,22,72.7,70.1 - 80%,"1284 U Ave
Boone, Iowa 500360589
(42.024939033, -93.776725302)"
2012,Reading,7,4419,MFL MarMac,23,48,47.9,40.1 - 50%,"700 S Page St
Monona, Iowa 52159
(43.046512265001, -91.391282234)"
2006,Math,5,1093,Central Decatur,42,60,70.0,60.1 - 70%,"1201 NE Poplar
Leon, Iowa 501441246
(40.748150523, -93.7430749)"
2006,Reading,6,3348,Kingsley-Pierson,25,31,80.7,80.1 - 90%,"322 Quest Avenue
Kingsley, Iowa 510280520
(42.582740549, -95.977957008)"
2012,Math,11,5163,Pekin,33,47,70.2,70.1 - 80%,"1062 Birch Ave
Packwood, Iowa 525808542
(41.153002366, -92.159172999)"
2011,Math,8,1944,Eagle Grove,43,61,70.5,70.1 - 80%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.667098434, -93.904557978)"
2007,Reading,3,2457,George-Little Rock,29,38,76.3,70.1 - 80%,"500 E Indiana Ave
George, Iowa 51237
(43.34142499, -95.997689525)"
2010,Math,11,4995,Osage,75,91,82.4,80.1 - 90%,"820 Sawyer
Osage, Iowa 50461
(43.279297406, -92.807087256)"
2014,Math,4,0279,Aplington-Parkersburg,46,55,83.6,80.1 - 90%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.574358477, -92.781041848)"
2007,Reading,8,5250,Pleasant Valley,170,221,76.9,70.1 - 80%,"525 Belmont Rd
Bettendorf, Iowa 52722
(41.552075023001, -90.466612678)"
2005,Math,8,4978,Orient-Macksburg,20,32,62.5,60.1 - 70%,"201 South School Street
Orient, Iowa 508580129
(41.201062736, -94.414620815)"
2006,Math,11,1233,Clear Lake,69,84,82.1,80.1 - 90%,"1529 3rd Avenue North
Clear Lake, Iowa 50428
(43.139871691, -93.3698995)"
2006,Reading,5,2709,Grinnell-Newburg,101,121,83.5,80.1 - 90%,"927 4th Ave
Grinnell, Iowa 50112
(41.743268012001, -92.722920631)"
2014,Reading,8,1368,Columbus,34,53,64.2,60.1 - 70%,"1208 Colton St
Columbus Junction, Iowa 52738
(41.268605316, -91.367431777)"
2007,Math,4,3195,Jefferson-Scranton,66,77,85.7,80.1 - 90%,"204 W Madison Ave
Jefferson, Iowa 50129
(42.012317749, -94.377120273)"
2004,Math,11,1701,Denison,130,166,78.3,70.1 - 80%,"819 N 16th St
Denison, Iowa 51442
(42.026357151, -95.348689731)"
2012,Math,8,3645,Lewis Central,145,221,65.6,60.1 - 70%,"4121 Harry Langdon Blvd
Council Bluffs, Iowa 51503
(41.220978391, -95.818439144)"
2014,Math,7,0355,Ar-We-Va,14,14,100.0,90.1 - 100%,"108 Clinton St
Westside, Iowa 51467
(42.075192007, -95.100777451)"
2004,Reading,8,2520,Glidden-Ralston,29,37,78.4,70.1 - 80%,"602 Idaho
Glidden, Iowa 51443
(42.061401498, -94.728933805)"
2014,Math,11,2520,Glidden-Ralston,22,23,95.7,90.1 - 100%,"602 Idaho
Glidden, Iowa 51443
(42.061401498, -94.728933805)"
2010,Reading,5,3186,Janesville,12,15,80.0,70.1 - 80%,"505 Barrick Rd
Janesville, Iowa 50647
(42.649545181, -92.457859168)"
2014,Reading,6,2502,Gladbrook-Reinbeck,29,34,85.3,80.1 - 90%,"300 Cedar Street
Reinbeck, Iowa 50669
(42.318498668, -92.599634434)"
2012,Reading,3,4131,Mason City,179,252,71.0,70.1 - 80%,"1515 S. Pennsylvania Ave
Mason City, Iowa 50401
(43.166840753, -93.198492687)"
2004,Reading,8,0585,Bellevue,34,44,77.3,70.1 - 80%,"1601 State St
Bellevue, Iowa 520310976
(42.253924855, -90.441917063)"
2003,Math,11,1782,Diagonal,10,13,76.9,70.1 - 80%,"403 W 2nd Street
Diagonal, Iowa 508450094
(40.807432521, -94.342395158)"
2013,Reading,6,4122,Martensdale-St Marys,27,37,73.0,70.1 - 80%,"390 Burlington
Martensdale, Iowa 50160
(41.372996559, -93.735495715)"
2006,Math,5,1476,Council Bluffs,458,612,74.8,70.1 - 80%,"300 W Broadway
Council Bluffs, Iowa 51503
(41.260936672, -95.848610653)"
2007,Math,5,1278,Clinton,194,261,74.3,70.1 - 80%,"1401 12th Ave N
Clinton, Iowa 52732
(41.858445401, -90.219388304)"
2009,Math,6,2322,Fort Madison,98,136,72.1,70.1 - 80%,"1930 Ave M
Fort Madison, Iowa 52627
(40.626405305, -91.332243165)"
2014,Reading,10,0594,Belmond-Klemme,34,37,91.9,90.1 - 100%,"411 10th Ave NE
Belmond, Iowa 504211698
(42.848954097001, -93.603450386)"
2006,Reading,5,2097,English Valleys,15,19,79.0,70.1 - 80%,"211 S College Street
North English, Iowa 52316
(41.513765134, -92.080480579)"
2007,Reading,3,3042,Hudson,37,46,80.4,80.1 - 90%,"136 S. Washington
Hudson, Iowa 50643
(42.401833833, -92.453961118)"
2009,Math,11,6165,Stanton,25,27,92.6,90.1 - 100%,"605 Elliott Street
Stanton, Iowa 51573
(40.984178043001, -95.100395388)"
2008,Math,5,4787,North Winneshiek,14,17,82.4,80.1 - 90%,"3495 North Winn Road
Decorah, Iowa 52101
(43.440769252, -91.80947803)"
2005,Reading,8,2088,Emmetsburg,33,51,64.7,60.1 - 70%,"205 King Street
Emmetsburg, Iowa 50536
(43.117009174, -94.691408595)"
2014,Reading,7,1337,College,269,340,79.1,70.1 - 80%,"401 76th Ave SW
Cedar Rapids, Iowa 52404
(41.905052988, -91.668080376)"
2011,Math,7,6509,Turkey Valley,21,22,95.5,90.1 - 100%,"3219 St Hwy 24
Jackson Junction, Iowa 521718308
(43.11720779, -92.024466156)"
2008,Math,4,2977,Highland,28,39,71.8,70.1 - 80%,"1715 Vine Avenue
Riverside, Iowa 52327
(41.460236457, -91.541407572)"
2006,Math,11,6096,Southeast Webster Grand,42,49,85.7,80.1 - 90%,"30850 Paragon Ave.
Burnside, Iowa 505210049
(42.346984258, -94.106637381)"
2006,Math,4,0657,Eddyville-Blakesburg,33,44,75.0,70.1 - 80%,"222 Walnut
Eddyville, Iowa 52553
(41.1565658, -92.637079862)"
2008,Reading,8,4203,Mediapolis,62,79,78.5,70.1 - 80%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.01322067, -91.160449839)"
2005,Reading,11,0621,Bettendorf,251,306,82.0,80.1 - 90%,"3311 18th Street
Bettendorf, Iowa 52722
(41.556463541, -90.498771292)"
2012,Math,4,6101,Southeast Polk,374,436,85.8,80.1 - 90%,"8379 NE University Ave
Pleasant Hill, Iowa 50327
(41.600356215, -93.434241935)"
2010,Reading,5,5121,Panorama,45,50,90.0,80.1 - 90%,"701 W Main
Panora, Iowa 50216
(41.691569911001, -94.374259674)"
2005,Math,4,0279,Aplington-Parkersburg,43,59,72.9,70.1 - 80%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.574358477, -92.781041848)"
2006,Math,5,2862,Hartley-Melvin-Sanborn,34,40,85.0,80.1 - 90%,"240 1st Street SE
Hartley, Iowa 51346
(43.179893337, -95.473519546)"
2005,Math,8,3195,Jefferson-Scranton,69,92,75.0,70.1 - 80%,"204 W Madison Ave
Jefferson, Iowa 50129
(42.012317749, -94.377120273)"
2006,Math,5,1917,Boyer Valley,25,31,80.7,80.1 - 90%,"1102 Iowa Ave
Dunlap, Iowa 51529
(41.85431341, -95.594870132)"
2008,Reading,3,6660,Vinton-Shellsburg,99,122,81.1,80.1 - 90%,"1502 C Avenue
Vinton, Iowa 52349
(42.157359394, -92.027909269)"
2007,Math,5,6867,Webster City,87,107,81.3,80.1 - 90%,"825 Beach St
Webster City, Iowa 505951948
(42.468377962, -93.835408483)"
2009,Math,5,2457,George-Little Rock,25,34,73.5,70.1 - 80%,"500 E Indiana Ave
George, Iowa 51237
(43.34142499, -95.997689525)"
2014,Reading,6,0576,Belle Plaine,30,42,71.4,70.1 - 80%,"707-7th Street
Belle Plaine, Iowa 52208
(41.891861666, -92.27813409)"
2007,Math,5,1503,Creston,84,111,75.7,70.1 - 80%,"801 N. Elm Street
Creston, Iowa 50801
(41.066193306, -94.363810291)"
2008,Math,6,1062,Center Point-Urbana,81,92,88.0,80.1 - 90%,"102 Trader
Center Point, Iowa 522130296
(42.187011739, -91.784729321)"
2011,Reading,3,6592,Van Buren,45,50,90.0,80.1 - 90%,"405 4th Street
Keosauqua, Iowa 52565
(40.730522915, -91.966792153)"
2004,Reading,4,0279,Aplington-Parkersburg,19,23,82.6,80.1 - 90%,"610 N. Johnson St
Parkersburg, Iowa 50665
(42.574358477, -92.781041848)"
2006,Reading,5,5715,Russell,,,,Not Reportable,"410 E Smith
Russell, Iowa 50238
(40.981626456, -93.194390785)"
2011,Reading,7,6840,Waverly-Shell Rock,106,127,83.5,80.1 - 90%,"1415 4th Ave SW
Waverly, Iowa 50677
(42.721711983, -92.489521341)"
2012,Reading,8,6012,Sigourney,26,39,66.7,60.1 - 70%,"300 West Kelly
Sigourney, Iowa 52591
(41.324538019001, -92.208010827)"
2007,Math,8,3029,Howard-Winneshiek,84,102,82.4,80.1 - 90%,"1000 Schroder Dr
Cresco, Iowa 52136
(43.373466402, -92.102994733)"
2007,Math,4,2367,Fremont,,,,Not Reportable,"525 East Main Street
Fremont, Iowa 52561
(41.212602281001, -92.431703726)"
2010,Math,6,5013,Oskaloosa,128,167,76.7,70.1 - 80%,"1800 North 3rd
Oskaloosa, Iowa 52577
(41.309644142, -92.641504171)"
2006,Reading,7,0981,Carlisle,74,108,68.5,60.1 - 70%,"430 School St
Carlisle, Iowa 50047
(41.498433476, -93.490462462)"
2006,Math,4,3312,Keokuk,109,147,74.2,70.1 - 80%,"1721 Fulton St
Keokuk, Iowa 52632
(40.408591789, -91.388112888)"
2013,Math,5,6102,Spencer,87,105,82.9,80.1 - 90%,"23 E 7th St
Spencer, Iowa 51301
(43.143656843, -95.143708014)"
2011,Reading,6,4905,Olin,10,15,66.7,60.1 - 70%,"212 Trilby St
Olin, Iowa 52320
(41.994913200001, -91.140009255)"
2010,Reading,11,5049,Ottumwa,209,291,71.8,70.1 - 80%,"422 McCarroll Dr
Ottumwa, Iowa 52501
(41.054992799, -92.404760643)"
2011,Reading,6,1791,Dike-New Hartford,47,57,82.5,80.1 - 90%,"330 Main St
Dike, Iowa 50624
(42.466920106, -92.628130775)"
2003,Math,4,1337,College,223,283,78.8,70.1 - 80%,"401 76th Ave SW
Cedar Rapids, Iowa 52404
(41.905052988, -91.668080376)"
2004,Reading,11,6579,Urbandale,197,255,77.3,70.1 - 80%,"11152 Aurora Avenue
Urbandale, Iowa 503227903
(41.637839566, -93.77152693)"
2010,Math,7,2169,Fairfield,85,113,75.2,70.1 - 80%,"403 South 20th Street
Fairfield, Iowa 52556
(41.003551228, -91.984202155)"
2011,Reading,4,2313,Fort Dodge,165,226,73.0,70.1 - 80%,"104 S 17th St
Fort Dodge, Iowa 50501
(42.504398547, -94.174977779)"
2008,Math,3,6840,Waverly-Shell Rock,92,104,88.5,80.1 - 90%,"1415 4th Ave SW
Waverly, Iowa 50677
(42.721711983, -92.489521341)"
2014,Math,5,6536,Union,66,78,84.6,80.1 - 90%,"200 Adams St
La Porte City, Iowa 506511143
(42.314613123, -92.198156513)"
2012,Reading,11,2556,Graettinger-Terril,15,18,83.3,80.1 - 90%,"400 W Lost Island St
Graettinger, Iowa 513420058
(43.236809139, -94.754521295)"
2013,Reading,7,4572,Murray,20,27,74.1,70.1 - 80%,"216 Sherman
Murray, Iowa 501740187
(41.039881776, -93.953647488)"
2013,Reading,11,2766,H-L-V,23,25,92.0,90.1 - 100%,"402 5th St
Victor, Iowa 52347
(41.729652987, -92.293241156)"
2014,Math,7,6100,South Winneshiek,24,29,82.8,80.1 - 90%,"304 S Webster St
Calmar, Iowa 52132
(43.180778347, -91.86743264)"
2006,Math,11,2709,Grinnell-Newburg,118,130,90.8,90.1 - 100%,"927 4th Ave
Grinnell, Iowa 50112
(41.743268012001, -92.722920631)"
2010,Math,3,5805,Saydel,55,81,67.9,60.1 - 70%,"5740 N E 14th Street
Des Moines, Iowa 50313
(41.664949721, -93.600627517)"
2004,Reading,4,4978,Orient-Macksburg,13,20,65.0,60.1 - 70%,"201 South School Street
Orient, Iowa 508580129
(41.201062736, -94.414620815)"
2011,Reading,5,6762,Wapsie Valley,44,55,80.0,70.1 - 80%,"2535 Viking Avenue
Fairbank, Iowa 50629
(42.679990164, -92.140653041)"
2011,Math,6,3154,Iowa Valley,26,31,83.9,80.1 - 90%,"359 E Hilton St
Marengo, Iowa 52301
(41.798598129, -92.066585859)"
2006,Reading,5,4505,Mormon Trail,,,,Not Reportable,"403 S Front St
Humeston, Iowa 50123
(40.857861428, -93.49945448)"
2006,Reading,11,6867,Webster City,98,131,74.8,70.1 - 80%,"825 Beach St
Webster City, Iowa 505951948
(42.468377962, -93.835408483)"
2007,Math,5,2718,Griswold,38,46,82.6,80.1 - 90%,"20 Madison
Griswold, Iowa 515350280
(41.238123121, -95.13578318)"
2007,Reading,11,0171,Alta,269,309,87.1,80.1 - 90%,"101 W 5th St
Alta, Iowa 51002
(42.670511869, -95.304289487)"
2012,Math,6,4518,Moulton-Udell,8,10,80.0,70.1 - 80%,"305 E 8th
Moulton, Iowa 52572
(40.68897702, -92.675134563)"
2009,Reading,4,6985,West Marshall,44,56,78.6,70.1 - 80%,"601 3rd St. NW
State Center, Iowa 502470670
(42.018512416, -93.170507544)"
2008,Reading,7,4505,Mormon Trail,9,14,64.3,60.1 - 70%,"403 S Front St
Humeston, Iowa 50123
(40.857861428, -93.49945448)"
2013,Reading,4,5163,Pekin,48,54,88.9,80.1 - 90%,"1062 Birch Ave
Packwood, Iowa 525808542
(41.153002366, -92.159172999)"
2006,Math,8,4784,North Scott,192,233,82.4,80.1 - 90%,"251 E Iowa St
Eldridge, Iowa 52748
(41.652613393, -90.580280251)"
2011,Reading,3,2349,Fredericksburg,12,17,70.6,70.1 - 80%,"401 E High Street
Fredericksburg, Iowa 50630
(42.962856553, -92.19441373)"
2011,Math,8,6992,Westwood,34,40,85.0,80.1 - 90%,"1000 Rebel Way
Sloan, Iowa 51055
(42.228917062, -96.217814827)"
2004,Math,4,6961,Western Dubuque,79,110,71.8,70.1 - 80%,"310 4th Street SW
Farley, Iowa 520469513
(42.440821398, -91.010297016)"
2005,Math,8,2322,Fort Madison,138,177,78.0,70.1 - 80%,"1930 Ave M
Fort Madison, Iowa 52627
(40.626405305, -91.332243165)"
2004,Reading,4,1944,Eagle Grove,51,60,85.0,80.1 - 90%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.667098434, -93.904557978)"
2007,Reading,5,0243,Andrew,15,18,83.3,80.1 - 90%,"13 S Marion
Andrew, Iowa 52030
(42.152732903, -90.591248222)"
2013,Reading,6,0423,Aurelia,30,56,53.6,50.1 - 60%,"300 Ash St
Aurelia, Iowa 51005
(42.71371202, -95.429734234)"
2004,Math,8,1221,Clear Creek Amana,66,95,69.5,60.1 - 70%,"327 South Augusta Ave
Oxford, Iowa 52322
(41.720666113, -91.790732011)"
2006,Math,6,4518,Moulton-Udell,13,15,86.7,80.1 - 90%,"305 E 8th
Moulton, Iowa 52572
(40.68897702, -92.675134563)"
2004,Math,4,6536,Union,83,99,83.8,80.1 - 90%,"200 Adams St
La Porte City, Iowa 506511143
(42.314613123, -92.198156513)"
2007,Math,8,0819,West Hancock,31,44,70.5,70.1 - 80%,"510 9th Ave SW
Britt, Iowa 504230278
(43.09236146, -93.812842777)"
2003,Reading,11,7098,Woodbury Central,39,51,76.5,70.1 - 80%,"408 South 4th Street
Moville, Iowa 51039
(42.484313339, -96.06924212)"
2011,Reading,3,0009,AGWSR,19,24,79.2,70.1 - 80%,"511 State St
Ackley, Iowa 50601
(42.552016502, -93.051398954)"
2012,Math,7,6969,West Harrison,17,25,68.0,60.1 - 70%,"410 Pine St
Mondamin, Iowa 51557
(41.709263024, -96.0179304)"
2008,Reading,3,0609,Benton,85,114,74.6,70.1 - 80%,"304 1st St
Van Horne, Iowa 52346
(42.010130719, -92.085777924)"
2006,Reading,11,1211,Clarke,73,105,69.5,60.1 - 70%,"802 North Jackson
Osceola, Iowa 50213
(41.040554858, -93.76950396)"
2009,Reading,3,1968,East Marshall,44,63,69.8,60.1 - 70%,"204 West Center
Gilman, Iowa 50106
(41.880197117, -92.790241544)"
