School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2017,Reading,11,2088,Emmetsburg Comm School District,40,55,72.7,70.1 - 80%,
2016,Math,5,6987,West Monona,32,50,64.0,60.1 - 70%,
2017,Reading,8,0918,Calamus-Wheatland Comm School District,28,36,77.8,70.1 - 80%,
2016,Reading,5,2556,Graettinger-Terril,21,26,80.8,80.1 - 90%,
2016,Reading,8,6930,West Branch,44,59,74.6,70.1 - 80%,
2017,Reading,6,1044,Cedar Falls Comm School District,311,365,85.2,80.1 - 90%,
2017,Reading,11,6165,Stanton Comm School District,12,13,92.3,90.1 - 100%,
2017,Reading,5,2322,Fort Madison Comm School District,96,122,78.7,70.1 - 80%,
2016,Math,7,1611,Davenport,686,998,68.7,60.1 - 70%,
2017,Reading,4,2369,Fremont-Mills Comm School District,26,37,70.3,70.1 - 80%,
2016,Math,7,7029,Williamsburg,70,75,93.3,90.1 - 100%,
2017,Reading,7,6867,Webster City Comm School District,92,120,76.7,70.1 - 80%,
2017,Reading,4,3312,Keokuk Comm School District,96,139,69.1,60.1 - 70%,
2016,Reading,3,0126,Algona,12,16,75.0,70.1 - 80%,
2017,Math,4,1215,Clarksville Comm School District,20,25,80.0,70.1 - 80%,
2017,Math,5,2295,Forest City Comm School District,64,83,77.1,70.1 - 80%,
2017,Reading,7,2772,Hamburg Comm School District,8,11,72.7,70.1 - 80%,
2017,Math,8,2511,Glenwood Comm School District,123,153,80.4,80.1 - 90%,
2016,Reading,6,1503,Creston,53,84,63.1,60.1 - 70%,
2017,Math,7,0720,Bondurant-Farrar Comm School District,128,135,94.8,90.1 - 100%,
2017,Math,11,1989,Edgewood-Colesburg Comm School District,30,38,78.9,70.1 - 80%,
2017,Reading,5,1476,Council Bluffs Comm School District,438,628,69.7,60.1 - 70%,
2017,Reading,3,4778,North Kossuth Comm School District,12,13,92.3,90.1 - 100%,
2016,Math,11,4131,Mason City,177,227,78.0,70.1 - 80%,
2017,Reading,5,2169,Fairfield Comm School District,86,121,71.1,70.1 - 80%,
2017,Reading,11,6096,Southeast Webster Grand Comm School District,0,0,0.0,Not Reportable,
2017,Math,8,6100,South Winneshiek Comm School District,19,22,86.4,80.1 - 90%,
2016,Reading,3,2781,Hampton-Dumont,12,16,75.0,70.1 - 80%,
2017,Reading,5,0081,Albia Comm School District,73,88,83.0,80.1 - 90%,
2016,Reading,4,4778,North Kossuth,22,22,100.0,90.1 - 100%,
2017,Reading,11,0018,Adair-Casey Comm School District,0,0,0.0,Not Reportable,
2017,Reading,6,4527,Mount Ayr Comm School District,47,55,85.5,80.1 - 90%,
2016,Reading,4,4784,North Scott,182,217,83.9,80.1 - 90%,
2016,Math,5,6950,West Delaware County,77,100,77.0,70.1 - 80%,
2017,Reading,8,4419,MFL MarMac Comm School District,33,46,71.7,70.1 - 80%,
2016,Math,8,6750,Walnut,0,0,0.0,Not Reportable,
2017,Reading,5,4779,North Polk Comm School District,113,121,93.4,90.1 - 100%,
2016,Math,11,2977,Highland,45,53,84.9,80.1 - 90%,
2016,Math,7,6985,West Marshall,64,69,92.8,90.1 - 100%,
2016,Reading,8,4068,Marcus-Meriden-Cleghorn,15,20,75.0,70.1 - 80%,
2017,Math,6,6097,South Page Comm School District,,,,Not Reportable,
2017,Math,11,7098,Woodbury Central Comm School District,43,45,95.6,90.1 - 100%,
2016,Math,7,3691,North Cedar,39,48,81.3,80.1 - 90%,
2016,Math,5,3537,Laurens-Marathon,17,22,77.3,70.1 - 80%,
2016,Reading,6,6867,Webster City,89,108,82.4,80.1 - 90%,
2017,Reading,6,6536,Union Comm School District,39,60,65.0,60.1 - 70%,
2016,Reading,3,7029,Williamsburg,12,16,75.0,70.1 - 80%,
2017,Math,6,1719,Denver Comm School District,59,62,95.2,90.1 - 100%,
2016,Reading,11,2113,Essex,22,26,84.6,80.1 - 90%,
2016,Reading,7,6750,Walnut,0,0,0.0,Not Reportable,
